alpha_deg,CL,CDi,assumed_CD0,CD_total,L_over_D,span_efficiency
-4.0,-0.07081343692318627,0.00046714548046701294,0.03,0.03046714548046701,-2.3242557123897916,0.5694794698977302
-3.0,0.009790235780742493,0.00014990924345841425,0.03,0.030149909243458412,0.32471858212530663,0.03392007210661636
-2.0,0.09039390848467127,0.0005366569713305697,0.03,0.030536656971330567,2.9601769627087164,0.8077564443470713
-1.0,0.17099758118860003,0.0016273886640834788,0.03,0.031627388664083475,5.406629772845818,0.9532076625349879
0.0,0.25160125389252874,0.0034221043217171412,0.03,0.03342210432171714,7.5279896044439765,0.981366512887343
1.0,0.3322049265964575,0.005920803944231558,0.03,0.035920803944231555,9.248259785950742,0.9888498088068085
2.0,0.41280859930038644,0.009123487531626735,0.03,0.039123487531626734,10.551426402533242,0.9909128612358781
3.0,0.4934122720043151,0.013030155083902656,0.03,0.043030155083902656,11.466662647211743,0.9912180139306718
4.0,0.5740159447082438,0.01764080660105933,0.03,0.04764080660105933,12.048829263429813,0.9908966279562234
5.0,0.6546196174121728,0.022955442083096786,0.03,0.052955442083096785,12.361706213026316,0.9903557965883453
6.0,0.7352232901161013,0.028974061530014947,0.03,0.05897406153001494,12.466892580255953,0.9897556984975415
7.0,0.8158269628200304,0.03569666494181392,0.03,0.06569666494181392,12.41808794316409,0.9891618157073311
8.0,0.8964306355239589,0.04312325231849357,0.03,0.07312325231849356,12.259173479039076,0.9886003267367356
9.0,0.9770343082278877,0.051253823660054036,0.03,0.08125382366005404,12.024471762898916,0.9880802867365045
10.0,1.0576379809318164,0.060088378966495236,0.03,0.09008837896649524,11.740004571790134,0.9876031483674277
11.0,1.1382416536357451,0.06962691823781719,0.03,0.09962691823781719,11.425041281701336,0.9871670537673422
12.0,1.2188453263396744,0.07986944147401995,0.03,0.10986944147401995,11.093578978717991,0.9867688292319434
